repo_name,CommitCount,DaysActive,AuthorCount,TimezoneCount,SponsoredAuthorCount,PercentageSponsoredAuthors,NumberPRs,NumberIssues,NumberPRComments,NumberIssueComments,PRCommentsPositive,PRCommentsNegative,IssueCommentsPositive,IssueCommentsNegative,PRCommentsNegativeRatio,IssueCommentsNegativeRatio,PRCommentsToxicityPercentage,IssueCommentsToxicityPercentage,BusFactorNumber,commitCentrality_Density,commitCentrality_Community Count,commitCentrality_TFN,commitCentrality_TFC,commitCentrality_NumberHighCentralityAuthors,commitCentrality_PercentageHighCentralityAuthors,AuthorActiveDays_mean,AuthorActiveDays_stdev,AuthorCommitCount_mean,AuthorCommitCount_stdev,commitCentrality_Centrality_mean,commitCentrality_Centrality_stdev,commitCentrality_Centrality_count,commitCentrality_Betweenness_mean,commitCentrality_Betweenness_count,commitCentrality_Closeness_mean,commitCentrality_Closeness_count,PRParticipantsCount_mean,PRParticipantsCount_stdev,IssueParticipantCount_mean,IssueParticipantCount_stdev,PRCommentsCount_mean,IssueCommentsCount_mean,PRDuration_mean,IssueDuration_mean,NumberReleases,ACCL,RPCPR,RPCIssue,FirstCommitDate,LastCommitDate,NumberActiveExperiencedDevs,SponsoredTFC,ExperiencedTFC
gs-relational-data-access,3,0,1,1,1,1.0,,,,,,,,,,,,,,,,,,,,1,0,3,0,,,,,,,,,,,,,,,,,,,,2018-08-19,2018-08-19,,,
java_examples,14,1871,3,2,0,0.0,1,1,1,5,1,0,1,1,0.0,0.0,0,0,0.6666666666666666,0.6666666666666666,1,2,71.42857142857143,1,0.3333333333333333,624.6666666666666,1080.2223536537897,4.666666666666667,4.725815626252608,0.6666666666666666,0.28867513459481287,3,0.3333333333333333,3,0.7777777777777778,3,2,0,2,0,1,5,0,0,,107.1,0,0,2016-01-05,2021-02-19,0,0.0,71.42857142857143
JavaTutorialsProject,1,0,1,1,1,1.0,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,2022-04-08,2022-04-08,,,
Java-Sample-Codes,42,44,1,1,0,0.0,,,,,,,,,,,,,,0,1,0,100.0,1,1.0,45,0,42,0,1,0,1,0.0,1,0.0,1,,,,,,,,,,,,,2019-09-09,2019-10-24,,,
JavaSampleCodeForPull,1,0,1,1,0,0.0,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,2025-03-06,2025-03-06,,,
JavaLearningTutorial,1,0,1,1,1,1.0,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,2023-06-02,2023-06-02,,,
JAVA_TUTORIAL_PROJECTS,6,94,1,1,1,1.0,1,,0,,0,0,,,0.0,,0,,,0,1,0,100.0,1,1.0,95,0,6,0,1,0,1,0.0,1,0.0,1,1,0,,,0,,2553,,,0,0,,2018-11-11,2019-02-14,,,
hexagonal-architecture-java,52,533,2,4,0,0.0,8,,6,,2,3,,,0.25,,0,,,1.0,1,0,100.0,2,1.0,267.5,376.8879143724298,26,35.35533905932738,1.0,0.0,2,0.0,2,1.0,2,1.625,0.7440238091428449,,,0.75,,365.25,,,0,0,,2023-05-31,2024-11-15,,,
aws-lambda-api-java-example,2,0,1,1,0,0.0,,,,,,,,,,,,,,,,,,,,1,0,2,0,,,,,,,,,,,,,,,,,,,,2019-03-21,2019-03-21,,,
creational-design-patterns-example,6,4,1,1,0,0.0,,,,,,,,,,,,,,0,1,0,100.0,1,1.0,5,0,6,0,1,0,1,0.0,1,0.0,1,,,,,,,,,,,,,2017-12-22,2017-12-26,,,
structural-design-pattern-example,5,39,1,1,0,0.0,,,,,,,,,,,,,,0,1,0,100.0,1,1.0,40,0,5,0,1,0,1,0.0,1,0.0,1,,,,,,,,,,,,,2017-12-26,2018-02-03,,,
Java,3128,3498,765,22,253,0.330718954248366,,1201,,3315,,,1640,189,,0.018318068276436304,,0,1.0,0.04724703144783219,7,765,0.0,0,0.0,31.075816993464052,135.57990439082832,4.088888888888889,16.486626166387214,0.04724703144783219,0.04092361516682196,765,0.0024130439277236762,765,0.3571615133955794,765,,,2.4188176519567026,2.116273202484692,,2.758534554537885,,63.084096586178184,,80.82337858220211,0,0,2016-07-16,2026-02-13,0,12.21227621483376,53.99616368286445
ELK-Logger,28,23,4,3,2,0.5,2,2,0,0,0,0,0,0,0.0,0.0,0,0,-1.0,1.0,1,0,100.0,4,1.0,1,0.0,7,6.683312551921141,1.0,0.0,4,0.0,4,1.0,4,2,0.0,1,0.0,0,0,138,138,,0.0,0,0,2022-03-09,2022-04-02,0,14.285714285714285,0.0
TestProject,1,0,1,1,1,1.0,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,2022-12-23,2022-12-23,,,
JavaExamples,58,119,2,1,0,0.0,,,,,,,,,,,,,,1.0,1,0,100.0,2,1.0,60,83.43860018001261,29,39.59797974644666,1.0,0.0,2,0.0,2,1.0,2,,,,,,,,,,,,,2015-05-01,2015-08-28,,,
CodingJAVA,5,0,3,1,2,0.6666666666666666,,,,,,,,,,,,,,,,,,,,1,0.0,1.6666666666666667,0.5773502691896257,,,,,,,,,,,,,,,,,,,,2019-01-10,2019-01-11,,,
JavaPractice,417,1095,2,1,0,0.0,1,,0,,0,0,,,0.0,,0,,,1.0,1,0,100.0,2,1.0,606.5,692.25753878163,208.5,205.76807332528534,1.0,0.0,2,0.0,2,1.0,2,0,0,,,0,,977,,,0,0,,2018-07-12,2021-07-11,,,
TensorFlow-Java-Examples,4,0,2,1,2,1.0,,,,,,,,,,,,,,,,,,,,1,0.0,2,1.4142135623730951,,,,,,,,,,,,,,,,,,,,2018-04-22,2018-04-22,,,
KodlamaIoJavaTutorialProjectsPart1Eclipse,7,2,2,1,0,0.0,,,,,,,,,,,,,,1.0,1,0,100.0,2,1.0,2,1.4142135623730951,3.5,3.5355339059327378,1.0,0.0,2,0.0,2,1.0,2,,,,,,,,,,,,,2022-11-20,2022-11-22,,,
KodlamaIoJavaTutorialProjectsPart1Intellij,2,0,2,1,0,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,2022-11-22,2022-11-22,,,
rest-api-sample,3,1500,2,2,2,1.0,1,,0,,0,0,,,0.0,,0,,,0,2,2,0.0,0,0.0,8.5,10.606601717798213,1.5,0.7071067811865476,0.0,0.0,2,0.0,2,0.0,2,1,0,,,0,,1978,,,0,0,,2018-07-11,2022-08-19,,,
CodeSamples,809,4566,5,4,0,0.0,3,,1,,1,0,,,0.0,,0,,,0.4,1,4,97.6514215080346,1,0.2,1364.8,2008.6815825311885,161.8,351.1904041969256,0.4,0.33541019662496846,5,0.2,5,0.6571428571428571,5,0,0.0,,,0.3333333333333333,,385,,,0,0,,2013-02-05,2025-08-07,,,
Amenity-Reservation,9,535,2,2,0,0.0,,,,,,,,,,,,,,1.0,1,0,100.0,2,1.0,267,376.1808075912433,4.5,0.7071067811865476,1.0,0.0,2,0.0,2,1.0,2,,,,,,,,,,,,,2022-11-25,2024-05-13,,,
test-spring4-apps,2,0,1,1,1,1.0,,,,,,,,,,,,,,,,,,,,1,0,2,0,,,,,,,,,,,,,,,,,,,,2025-08-02,2025-08-02,,,
